Method,Name,Error,Occurrences
POST,/transliterate/kn-IN,"CatchResponseError('Status code 429 - Response: {""error"":{""message"":""Rate limit exceeded"",""code"":""rate_limit_exceeded_error"",""request_id"":""20250606_6a82cff1-a371-4c67-b13c-b9995368d948""}}')",1
POST,/transliterate/pa-IN,"CatchResponseError('Status code 429 - Response: {""error"":{""message"":""Rate limit exceeded"",""code"":""rate_limit_exceeded_error"",""request_id"":""20250606_0f53f92a-1e66-4b3c-a0ba-d28aa229618d""}}')",1
POST,/transliterate/hi-IN,"CatchResponseError('Status code 429 - Response: {""error"":{""message"":""Rate limit exceeded"",""code"":""rate_limit_exceeded_error"",""request_id"":""20250606_f1d78e4f-16fd-4722-ac71-fd3ee7e8ed5c""}}')",1
POST,/transliterate/bn-IN,"CatchResponseError('Status code 429 - Response: {""error"":{""message"":""Rate limit exceeded"",""code"":""rate_limit_exceeded_error"",""request_id"":""20250606_4c877b7f-d9c3-43ba-a08f-7022768dc631""}}')",1
POST,/transliterate/bn-IN,"CatchResponseError('Status code 429 - Response: {""error"":{""message"":""Rate limit exceeded"",""code"":""rate_limit_exceeded_error"",""request_id"":""20250606_98646499-3d5e-4584-a21a-7f1193fbd84a""}}')",1
POST,/transliterate/mr-IN,"CatchResponseError('Status code 429 - Response: {""error"":{""message"":""Rate limit exceeded"",""code"":""rate_limit_exceeded_error"",""request_id"":""20250606_9f1c931e-4ffb-4211-96a5-7f47f40a2b75""}}')",1
POST,/transliterate/kn-IN,"CatchResponseError('Status code 429 - Response: {""error"":{""message"":""Rate limit exceeded"",""code"":""rate_limit_exceeded_error"",""request_id"":""20250606_1028d7b7-e73b-4156-b7b2-1fcf28c08ec6""}}')",1
POST,/transliterate/te-IN,"CatchResponseError('Status code 429 - Response: {""error"":{""message"":""Rate limit exceeded"",""code"":""rate_limit_exceeded_error"",""request_id"":""20250606_9cfd0a02-f90f-4d1e-8b53-3b034a6e1e0b""}}')",1
POST,/transliterate/bn-IN,"CatchResponseError('Status code 429 - Response: {""error"":{""message"":""Rate limit exceeded"",""code"":""rate_limit_exceeded_error"",""request_id"":""20250606_cd794c78-0386-48a1-9e9c-36c1f88fad32""}}')",1
POST,/transliterate/ta-IN,"CatchResponseError('Status code 429 - Response: {""error"":{""message"":""Rate limit exceeded"",""code"":""rate_limit_exceeded_error"",""request_id"":""20250606_d3792ef5-ea8e-45d8-82c0-5864b0e3bec0""}}')",1
